fr_number,v_id,v_bbox,lp_bbox,lp_bbox_score,lp,lp_score
120,337,89.22909565779122 749.7990392508416 541.7264788163307 1166.7631704027428,240.07191467285156 1024.5316162109375 377.16851806640625 1064.427978515625,0.6141793727874756,AK64DHV,0.4914570973695186
121,337,87.71884711007348 752.0367396612102 539.8930084362473 1167.396572512062,239.4086151123047 1026.8358154296875 376.1982116699219 1068.89111328125,0.6505080461502075,AKE4DNV,0.26088354399875235
122,337,87.24072210661478 753.0906995590749 539.1496433660902 1167.2471218742228,239.3706512451172 1026.8359375 376.1893310546875 1068.9051513671875,0.650518000125885,AKSGDNV,0.26928776701561524
123,337,87.72889962175009 759.0437564824433 539.6390581094126 1172.7802477694452,236.51817321777344 1032.034423828125 376.13287353515625 1072.977783203125,0.6232231855392456,AKE4DMV,0.6584220642922077
124,337,87.85117876516458 761.3359249238855 539.4530747137871 1174.7750089618617,236.49256896972656 1032.0194091796875 376.12286376953125 1072.9949951171875,0.6239489912986755,AKE4DMV,0.7366946342882752
125,337,87.48274924138795 763.1273926082877 537.0869091086402 1176.7328600163996,231.82579040527344 1033.77880859375 370.7220764160156 1076.168212890625,0.6043158173561096,AK64@HV,0.5243518948419648
126,337,87.62140817683803 763.7726723833708 535.5946616284239 1177.4525131554617,231.89886474609375 1033.7838134765625 370.7518310546875 1076.248046875,0.6057583093643188,AR64DFIV,0.29379951367467605
127,337,84.71994083082996 767.323169000995 534.017356605706 1181.28921650703,236.11427307128906 1038.584716796875 374.15325927734375 1085.1572265625,0.5445454716682434,AK64@NV,0.5100212744355227
128,337,83.25547438892198 768.543589598281 533.6260792740477 1182.708649281446,236.10939025878906 1038.599609375 374.14312744140625 1085.1646728515625,0.5450872778892517,AK64DNV,0.43330532780742836
129,337,83.07724030840413 772.1634729984227 535.3915132075335 1187.3115434994766,232.79525756835938 1045.24609375 373.61126708984375 1085.0386962890625,0.6123619675636292,AK4@NV,0.7051149866092222
130,337,83.07724030840413 772.1634729984227 535.3915132075335 1187.3115434994766,226.21762084960938 1042.0701904296875 374.06512451171875 1096.767822265625,0.6131437420845032,AK4@NV,0.6978548879540032
131,337,82.84231656774222 773.2038690698887 536.729840922555 1189.015693640105,232.79579162597656 1045.240234375 373.6177978515625 1085.058837890625,0.6326592564582825,AK64DMV,0.4410388701821443
132,337,82.84231656774222 773.2038690698887 536.729840922555 1189.015693640105,226.25457763671875 1042.0838623046875 374.0562438964844 1096.7794189453125,0.6326293349266052,AK64DMV,0.4410388701821443
133,337,79.90872762118028 774.1732422404734 533.2868769775005 1190.7943741647916,229.18856811523438 1045.7388916015625 373.9155578613281 1090.427734375,0.6430526971817017,AKG4DMV,0.6994436768799975
134,337,79.00770546646476 774.274203094548 532.1527845603666 1191.404806006571,229.17835998535156 1045.7384033203125 373.9239501953125 1090.4283447265625,0.6428875923156738,AKG4DMV,0.6994436768799975
