fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
67,3,1100.427734375 712.9405517578125 1195.469482421875 748.1017456054688,0.44104939699172974,JOGEDD,0.5604833201200452
68,3,1106.057373046875 717.7865600585938 1199.7109375 752.4910278320312,0.5145710706710815,CJO6EP,0.11462380988828294
69,3,1105.996826171875 717.7809448242188 1199.6954345703125 752.4754028320312,0.5163202881813049,6JO6€PD,0.08314880500849901
70,3,1105.028076171875 719.8986206054688 1199.4019775390625 757.1533813476562,0.4944186210632324,JOBIDO,0.11062879210331271
71,3,1105.0225830078125 719.9450073242188 1199.40625 757.1771240234375,0.49461790919303894,JOBIDO,0.11062879210331271
72,3,1106.590087890625 721.2998046875 1199.25830078125 758.230224609375,0.5254514813423157,JOLED,0.0991606941100571
73,3,397.47021484375 678.945068359375 464.85284423828125 711.0225830078125,0.3568984270095825, ,0.0
74,3,1107.4283447265625 725.1678466796875 1201.9815673828125 761.2039184570312,0.3856404423713684,JDSEPD,0.44784703251857394
75,3,1107.500732421875 725.2214965820312 1201.907470703125 761.1947021484375,0.3845204710960388,JDSEPD,0.44784703251857394
76,3,399.611083984375 684.3197021484375 464.8356628417969 717.9266967773438,0.3428567051887512, ,0.0
77,3,399.5652160644531 684.3252563476562 464.7838439941406 717.8930053710938,0.34275877475738525, ,0.0
78,3,396.5461120605469 684.8592529296875 463.77105712890625 717.8114013671875,0.3496955633163452, ,0.0
79,3,396.5068054199219 684.8497924804688 463.737548828125 717.8413696289062,0.3511348068714142, ,0.0
80,3,389.5249328613281 688.1115112304688 464.03387451171875 720.1258544921875,0.33446183800697327, ,0.0
81,3,389.34210205078125 688.07861328125 464.0143127441406 720.103759765625,0.3407241106033325, ,0.0
82,3,383.36920166015625 687.9179077148438 464.40277099609375 722.8673095703125,0.46855077147483826, ,0.0
83,3,383.3794250488281 687.9027099609375 464.4029235839844 722.8637084960938,0.468345582485199, ,0.0
84,3,383.31158447265625 687.473388671875 467.7582092285156 724.087890625,0.458615779876709, ,0.0
85,3,383.300537109375 687.4854125976562 467.7536926269531 724.1068115234375,0.4590637981891632, ,0.0
86,3,388.6159362792969 690.6192626953125 469.4315185546875 730.3896484375,0.4030291438102722, ,0.0
87,3,388.465576171875 690.6131591796875 469.41845703125 730.3588256835938,0.403079628944397, ,0.0
88,3,383.0191650390625 691.1005249023438 465.9971618652344 730.0300903320312,0.4181930422782898, ,0.0
89,3,383.1838073730469 691.1097412109375 466.01947021484375 729.9725341796875,0.4181501567363739, ,0.0
90,3,379.93365478515625 692.0908813476562 467.7259521484375 730.6857299804688,0.4200473725795746, ,0.0
91,3,379.9315490722656 692.09130859375 467.728759765625 730.68505859375,0.4198920726776123, ,0.0
92,3,379.41119384765625 694.9965209960938 466.0030212402344 734.9844360351562,0.43731045722961426, ,0.0
93,3,379.42840576171875 694.9924926757812 466.05853271484375 734.974365234375,0.4358091652393341, ,0.0
17,4,1088.716064453125 668.3824462890625 1182.67529296875 700.2378540039062,0.49325984716415405,JOSD,0.06612223778104455
35,5,1154.174072265625 1078.9052734375 1294.3914794921875 1121.033203125,0.536712646484375,JFES,0.17651249468326569
73,6,1106.5609130859375 721.3070068359375 1199.30419921875 758.2337036132812,0.5257472991943359,JOLED,0.0991606941100571
74,6,400.57745361328125 681.923583984375 470.07470703125 717.4596557617188,0.42800480127334595, ,0.0
75,6,400.57452392578125 681.9298706054688 470.0688171386719 717.453125,0.4277561604976654, ,0.0
76,6,1105.962646484375 730.5381469726562 1208.845458984375 762.6524658203125,0.4353758692741394,JO6EP),0.2679354243105184
77,6,1105.874755859375 730.5507202148438 1208.89990234375 762.6758422851562,0.43536221981048584,JO6EP),0.2679354243105184
