,fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
118,684,0,"[950.2482299804688, 1542.6968994140625, 1327.281982421875, 1678.3677978515625]",0.6170287132263184,MUL-521,0.9089473533822131
119,685,0,"[941.2481689453125, 1536.4581298828125, 1350.0340576171875, 1710.9503173828125]",0.6344102025032043,MUL_521,0.8506700763063929
120,686,0,"[963.9483032226562, 1551.673095703125, 1342.506591796875, 1698.9188232421875]",0.659790575504303,MUL521,0.7888833976064359
121,687,0,"[973.5404663085938, 1558.5728759765625, 1341.3619384765625, 1705.6761474609375]",0.6073898673057556,MUL-521,0.7136322464594299
122,688,0,"[981.232177734375, 1552.745361328125, 1349.542236328125, 1704.1376953125]",0.6134818196296692,MUL-521,0.7870216863402841
123,689,0,"[980.1095581054688, 1568.20947265625, 1341.9453125, 1693.5792236328125]",0.5816687345504761,MUL-521,0.9927276035456847
124,690,0,"[987.8360595703125, 1568.4130859375, 1360.196044921875, 1711.4774169921875]",0.6153982281684875,MUL_-521,0.835555993202932
125,691,0,"[952.716064453125, 1572.7935791015625, 1357.294921875, 1703.54150390625]",0.604603111743927,MUL-521,0.851019923302983
126,692,0,"[966.7373657226562, 1579.2850341796875, 1362.453857421875, 1705.4542236328125]",0.6730445623397827,MUL-521,0.8532384013654317
127,693,0,"[970.6466674804688, 1581.8526611328125, 1358.9677734375, 1693.36865234375]",0.7063081860542297,MUL-521,0.6983269130111923
128,694,0,"[961.2398071289062, 1584.560302734375, 1365.455322265625, 1716.7613525390625]",0.7054228782653809,MUL-521,0.4899029142297333
129,695,0,"[973.8737182617188, 1585.3714599609375, 1379.638671875, 1732.7713623046875]",0.6913723945617676,MUL-521,0.600589466372597
130,696,0,"[977.3466796875, 1592.490966796875, 1400.248291015625, 1741.724853515625]",0.7069465517997742,MUL521,0.43906023174541847
131,696,1,"[961.7462768554688, 1570.53662109375, 1413.218017578125, 1770.8565673828125]",0.2788242697715759,MUL-521,0.9471126343318502
132,697,0,"[996.8646240234375, 1591.5523681640625, 1377.585205078125, 1737.3314208984375]",0.6732407212257385,MUL.521,0.7540235120814607
133,698,0,"[973.9486083984375, 1591.4666748046875, 1406.6744384765625, 1757.7301025390625]",0.5996511578559875,MUL-521,0.5378579340285677
